zona,anno,edad,sexo,casos
AMAZ,2020,e1-5,F,3
AMAZ,2020,e1-5,M,5
AMAZ,2020,e14-18,F,3
AMAZ,2020,e14-18,M,5
AMAZ,2020,e5-9,F,0
AMAZ,2020,e5-9,M,3
AMAZ,2020,e9-14,F,4
AMAZ,2020,e9-14,M,4
AMAZ,2020,e<1,F,0
AMAZ,2020,e<1,M,0
AMAZ,2021,e1-5,F,1
AMAZ,2021,e1-5,M,4
AMAZ,2021,e14-18,F,0
AMAZ,2021,e14-18,M,5
AMAZ,2021,e5-9,F,4
AMAZ,2021,e5-9,M,7
AMAZ,2021,e9-14,F,2
AMAZ,2021,e9-14,M,3
AMAZ,2021,e<1,F,1
AMAZ,2021,e<1,M,0
AMAZ,2022,e1-5,F,1
AMAZ,2022,e1-5,M,3
AMAZ,2022,e14-18,F,2
AMAZ,2022,e14-18,M,1
AMAZ,2022,e5-9,F,3
AMAZ,2022,e5-9,M,5
AMAZ,2022,e9-14,F,6
AMAZ,2022,e9-14,M,1
AMAZ,2022,e<1,F,0
AMAZ,2022,e<1,M,0
AMAZ,2023,e1-5,F,5
AMAZ,2023,e1-5,M,4
AMAZ,2023,e14-18,F,2
AMAZ,2023,e14-18,M,3
AMAZ,2023,e5-9,F,3
AMAZ,2023,e5-9,M,4
AMAZ,2023,e9-14,F,7
AMAZ,2023,e9-14,M,1
AMAZ,2023,e<1,F,1
AMAZ,2023,e<1,M,0
AMAZ,2024,e1-5,F,5
AMAZ,2024,e1-5,M,2
AMAZ,2024,e14-18,F,1
AMAZ,2024,e14-18,M,2
AMAZ,2024,e5-9,F,1
AMAZ,2024,e5-9,M,2
AMAZ,2024,e9-14,F,4
AMAZ,2024,e9-14,M,5
AMAZ,2024,e<1,F,0
AMAZ,2024,e<1,M,1
AND,2020,e1-5,F,80
AND,2020,e1-5,M,88
AND,2020,e14-18,F,68
AND,2020,e14-18,M,93
AND,2020,e5-9,F,54
AND,2020,e5-9,M,60
AND,2020,e9-14,F,89
AND,2020,e9-14,M,128
AND,2020,e<1,F,20
AND,2020,e<1,M,17
AND,2021,e1-5,F,85
AND,2021,e1-5,M,86
